
********************************************************************************
Slippage report report produced on 10/05/2023 22:35 from 02/09/2022 22:35 to 10/05/2023 22:35
********************************************************************************


Slippage calculations: First three columns are slippage (mid to executed price) from 3 sources:
- bid_ask_trades: The difference between the mid price and bid/ask price when a trade is entered
- total_trades: The difference between the mid price and actual fill price when a trade occurs
- bid_ask_sampled: The difference between mid and bid/ask when a regular sample is taken, not when trading

The following three columns show how our estimate of slippage is calculated using weights
- weight_trades: Weighting given to trades (most conservative of bid_ask_trades and total_trades)
- weight_samples: Weighting given to samples
- weight_config: Weighting given to current configured value

The weights vary depending on how many trades and samples we have

Finally we have:
- The estimate based on the calculations above
- The current configured value
- The % difference between these values (estimate and configured). Positive means the estimate is higher (costs not conservative enough)

==============================================================================================================================================
                                                      Check of slippage, in price units                                                       
==============================================================================================================================================

                 bid_ask_trades  total_trades  bid_ask_sampled  weight_trades  weight_samples  weight_config  estimate  Configured  Difference
SMI_fsb                     NaN           NaN           3.0000            0.0            0.89           0.11    3.0000      3.0000         0.0
NOK_fsb                     NaN           NaN              NaN            0.0            0.00           1.00   42.5000     42.5000         0.0
LUMBER_fsb                  NaN           NaN              NaN            0.0            0.00           1.00  400.0000    400.0000         0.0
JSE40_fsb                   NaN           NaN              NaN            0.0            0.00           1.00   30.0000     30.0000         0.0
GBPJPY_fsb                  NaN           NaN              NaN            0.0            0.00           1.00   10.0000     10.0000         0.0
GBPCHF_fsb                  NaN           NaN              NaN            0.0            0.00           1.00   10.0000     10.0000         0.0
SOYBEAN_fsb                 NaN           NaN           1.0000            0.0            0.81           0.19    1.0000      1.0000         0.0
SOYOIL_fsb                  NaN           NaN           5.0000            0.0            0.86           0.14    5.0000      5.0000         0.0
SP500_fsb                   NaN           NaN           0.5000            0.0            0.90           0.10    0.5000      0.5000         0.0
AUDJPY_fsb                  NaN           NaN              NaN            0.0            0.00           1.00    4.5000      4.5000         0.0
EURIBOR_fsb                 NaN           NaN              NaN            0.0            0.00           1.00    2.4000      2.4000         0.0
EURCHF_fsb                  NaN           NaN              NaN            0.0            0.00           1.00    5.5000      5.5000         0.0
EURCAD_fsb                  NaN           NaN              NaN            0.0            0.00           1.00    9.2500      9.2500         0.0
US2_fsb                     NaN           NaN           1.0000            0.0            0.71           0.29    1.0000      1.0000         0.0
US30U_fsb                   NaN           NaN           2.0000            0.0            0.79           0.21    2.0000      2.0000         0.0
US30_fsb                    NaN           NaN           2.0000            0.0            0.69           0.31    2.0000      2.0000         0.0
US5_fsb                     NaN           NaN           1.0000            0.0            0.72           0.28    1.0000      1.0000         0.0
EDOLLAR_fsb                 NaN           NaN              NaN            0.0            0.00           1.00    0.8000      0.8000         0.0
EDOLLAR                     NaN           NaN              NaN            0.0            0.00           1.00    0.0025      0.0025         0.0
