
********************************************************************************
            Minimum capital FSB report produced on 30/06/2023 22:31             
********************************************************************************


The following report calculates minimum capital as follows:
A - min_bet: Minimum bet in account currency 
B - price: Price
C - ann_perc_stdev: Annual standard deviation in percentage terms (20 = 20%) 
D - risk_target: Risk target in percentage terms (20 = 20%) 
E - min_cap_min_bet: Minimum capital for minimum bet = A * B * C / D 
F - min_pos_avg_fc: Minimum position multiplier for average forecast 
G - min_cap_avg_fc: Minimum capital for average forecast = E * F 
H - instr_weight: Proportion of capital allocated to instrument 
I - IDM: Instrument diversification multiplier 
J - min_cap_portfolio: Minimum capital within a portfolio, allowing for minimum position = G / ( H * I) 


======================================================================================================================================================
                                                           Minimum capital in base currency                                                           
======================================================================================================================================================

                 min_bet     price  ann_perc_stdev  risk_target  min_cap_min_bet  min_pos_avg_fc  min_cap_avg_fc  instr_weight  IDM  min_cap_portfolio
SOYBEAN_fsb         5.00   1480.75            25.1           25          7439.62               4        29758.47           0.1  2.5             119033
CORN_fsb           10.00    578.25            37.1           25          8576.25               4        34305.00           0.1  2.5             137220
OATIES_fsb         15.00    374.50            39.4           25          8852.71               4        35410.83           0.1  2.5             141643
SUGAR_WHITE_fsb    15.00    635.50            23.6           25          8986.89               4        35947.58           0.1  2.5             143790
RICE_fsb            0.50  18090.00            28.4           25         10275.31               4        41101.25           0.1  2.5             164405
SOYOIL_fsb          1.00   6565.00            39.3           25         10316.78               4        41267.11           0.1  2.5             165068
BRENT_W_fsb         1.00   7548.00            36.2           25         10927.07               4        43708.29           0.1  2.5             174833
CRUDE_W_fsb         1.00   7070.00            40.7           25         11520.68               4        46082.73           0.1  2.5             184330
NIKKEI_fsb          0.50  33530.00            17.4           25         11663.91               4        46655.63           0.1  2.5             186622
COFFEE_fsb          0.50  15900.00            37.9           25         12053.24               4        48212.96           0.1  2.5             192851
GASOIL_fsb         10.00    711.75            43.5           25         12384.65               4        49538.58           0.1  2.5             198154
SOYMEAL_fsb         0.25  40290.00            36.4           25         14670.18               4        58680.71           0.1  2.5             234722
OJ_fsb              0.50  25400.00            32.4           25         16452.29               4        65809.17           0.1  2.5             263236
GASOLINE_fsb        0.50  26416.00            33.3           25         17601.13               4        70404.53           0.1  2.5             281618
WHEAT_fsb          15.00    636.00            47.2           25         17995.03               4        71980.13           0.1  2.5             287920
HEATOIL_fsb         0.50  24533.00            42.1           25         20659.11               4        82636.45           0.1  2.5             330545


********************************************************************************
                                 END OF REPORT                                  
********************************************************************************


